Samples,Epochs,Batchsize,Offers,Type,Time,Price
N/A,N/A,N/A,20,N/A,N/A,N/A
5636,100,128,20,lex,0.45,2417
5636,100,1024,20,lex,0.51,2417
1000,100,64,20,lex,0.46,2417
5636,100,64,20,lex,0.47,2417
1000,1000,512,20,lex,0.45,2417
1000,100,256,20,lex,0.51,2417
5636,100,256,20,lex,0.51,2417
1000,1000,32,20,lex,0.51,2417
1000,100,128,20,lex,0.47,2417
1000,100,1024,20,lex,0.44,2417
5636,100,32,20,lex,0.49,2417
1000,1000,256,20,lex,0.47,2417
1000,100,512,20,lex,0.49,2417
1000,1000,1024,20,lex,0.47,2417
1000,100,32,20,lex,0.46,2417
1000,1000,128,20,lex,0.47,2417
5636,100,512,20,lex,0.54,2417
1000,1000,64,20,lex,0.51,2417
N/A,N/A,N/A,27,N/A,508.11,1680
1000,1000,256,27,lex,0.43,1680
1000,100,512,27,lex,0.43,1680
5636,100,32,27,lex,0.43,1680
1000,100,32,27,lex,0.45,1680
1000,1000,1024,27,lex,0.45,1680
1000,1000,128,27,lex,0.44,1680
1000,1000,64,27,lex,0.44,1680
5636,100,512,27,lex,0.46,1680
1000,100,64,27,lex,0.45,1680
5636,100,1024,27,lex,0.52,1680
5636,100,128,27,lex,0.43,1680
1000,1000,512,27,lex,0.45,1680
1000,100,256,27,lex,0.45,1680
5636,100,64,27,lex,0.43,1680
1000,1000,32,27,lex,4.29,2400
5636,100,256,27,lex,0.45,1680
1000,100,1024,27,lex,0.28,1680
1000,100,128,27,lex,0.44,1680
N/A,N/A,N/A,40,N/A,N/A,N/A
1000,100,128,40,lex,1.52,2036
1000,100,1024,40,lex,1.54,2036
5636,100,256,40,lex,1.58,2036
1000,1000,32,40,lex,1.28,2036
5636,100,64,40,lex,1.56,2036
1000,100,256,40,lex,1.56,2036
1000,1000,512,40,lex,1.55,2036
5636,100,128,40,lex,1.55,2036
5636,100,1024,40,lex,1.78,2036
1000,100,64,40,lex,1.57,2036
5636,100,512,40,lex,1.56,2036
1000,1000,64,40,lex,1.56,2036
1000,1000,128,40,lex,1.58,2036
1000,1000,1024,40,lex,1.56,2036
1000,100,32,40,lex,1.57,2036
5636,100,32,40,lex,1.57,2036
1000,100,512,40,lex,1.56,2036
1000,1000,256,40,lex,1.61,2036
N/A,N/A,N/A,250,N/A,N/A,N/A
1000,100,512,250,lex,2.64,1890
1000,1000,64,250,lex,2.64,1890
1000,1000,128,250,lex,2.67,1890
5636,100,512,250,lex,N/A,N/A
1000,1000,256,250,lex,2.69,1890
1000,1000,32,250,lex,510.38,4329
1000,100,1024,250,lex,2.42,1890
5636,100,64,250,lex,3.28,1890
5636,100,1024,250,lex,N/A,N/A
1000,100,128,250,lex,N/A,N/A
1000,100,256,250,lex,2061.38,4329
1000,1000,1024,250,lex,N/A,N/A
5636,100,32,250,lex,2.66,1890
1000,100,32,250,lex,N/A,N/A
1000,100,64,250,lex,N/A,N/A
5636,100,128,250,lex,2.65,1890
5636,100,256,250,lex,N/A,N/A
1000,1000,512,250,lex,2.63,1890
N/A,N/A,N/A,500,N/A,N/A,N/A
5636,100,32,500,lex,N/A,N/A
1000,1000,1024,500,lex,N/A,N/A
1000,100,128,500,lex,N/A,N/A
5636,100,1024,500,lex,N/A,N/A
1000,100,256,500,lex,N/A,N/A
5636,100,64,500,lex,14.59,1790
5636,100,128,500,lex,14.92,1790
5636,100,256,500,lex,N/A,N/A
1000,1000,512,500,lex,14.7,1790
1000,100,64,500,lex,N/A,N/A
1000,100,32,500,lex,N/A,N/A
1000,100,512,500,lex,14.98,1790
1000,100,1024,500,lex,14.18,1790
1000,1000,32,500,lex,N/A,N/A
1000,1000,128,500,lex,15.3,1790
5636,100,512,500,lex,N/A,N/A
1000,1000,256,500,lex,N/A,N/A
1000,1000,64,500,lex,14.59,1790
