Samples,Epochs,Batchsize,Offers,Type,Time,Price
N/A,N/A,N/A,20,N/A,0.17,1416.0
7996,100,64,20,lex,0.24,1416.0
1000,100,32,20,lex,0.19,1416.0
7996,100,128,20,lex,0.18,1416.0
7996,100,1024,20,lex,0.18,1416.0
1000,100,256,20,lex,0.18,1416.0
1000,1000,128,20,lex,0.17,1416.0
7996,100,256,20,lex,0.19,1416.0
1000,1000,32,20,lex,0.23,1416.0
1000,100,128,20,lex,0.17,1416.0
1000,1000,256,20,lex,0.17,1416.0
1000,100,1024,20,lex,0.17,1416.0
1000,100,512,20,lex,0.16,1416.0
1000,100,64,20,lex,0.18,1416.0
7996,100,32,20,lex,0.24,1416.0
1000,1000,512,20,lex,0.18,1416.0
1000,1000,1024,20,lex,0.21,1416.0
1000,1000,64,20,lex,0.22,1416.0
7996,100,512,20,lex,0.18,1416.0
N/A,N/A,N/A,27,N/A,0.1,1200.0
1000,100,512,27,lex,0.09,1680.0
1000,100,1024,27,lex,0.07,1200.0
7996,100,32,27,lex,0.13,1440.0
1000,100,64,27,lex,0.1,1680.0
1000,1000,512,27,lex,0.1,1680.0
7996,100,512,27,lex,0.1,1680.0
1000,1000,64,27,lex,0.1,1200.0
1000,1000,1024,27,lex,0.1,1680.0
7996,100,1024,27,lex,0.11,1680.0
7996,100,128,27,lex,0.1,1200.0
1000,100,32,27,lex,0.1,1680.0
7996,100,64,27,lex,0.11,1200.0
1000,1000,128,27,lex,0.09,1200.0
1000,100,256,27,lex,0.1,1680.0
1000,1000,32,27,lex,0.1,1200.0
7996,100,256,27,lex,0.12,1680.0
1000,1000,256,27,lex,0.1,1680.0
1000,100,128,27,lex,0.1,1680.0
N/A,N/A,N/A,40,N/A,0.3,1012.0
1000,100,128,40,lex,0.33,1012.0
1000,1000,256,40,lex,0.34,1012.0
7996,100,256,40,lex,0.35,1012.0
1000,1000,32,40,lex,0.42,1012.0
1000,100,256,40,lex,0.34,1012.0
1000,1000,128,40,lex,0.37,1012.0
7996,100,64,40,lex,0.43,1012.0
1000,100,32,40,lex,0.1,1680.0
7996,100,128,40,lex,0.38,1012.0
7996,100,1024,40,lex,0.36,1012.0
1000,1000,1024,40,lex,0.34,1012.0
1000,1000,64,40,lex,0.42,1012.0
7996,100,512,40,lex,0.34,1012.0
1000,1000,512,40,lex,0.34,1012.0
1000,100,64,40,lex,0.36,1012.0
7996,100,32,40,lex,0.44,1012.0
1000,100,1024,40,lex,0.18,1012.0
1000,100,512,40,lex,0.34,1012.0
N/A,N/A,N/A,250,N/A,1.42,882.0
1000,1000,128,250,lex,1.43,882.0
1000,1000,256,250,lex,1.13,882.0
1000,100,1024,250,lex,0.79,882.0
7996,100,512,250,lex,1.16,882.0
1000,100,256,250,lex,1.14,882.0
1000,100,128,250,lex,1.14,882.0
7996,100,1024,250,lex,1.22,882.0
1000,1000,32,250,lex,1.5,882.0
1000,1000,1024,250,lex,1.12,882.0
7996,100,64,250,lex,1.6,882.0
1000,1000,64,250,lex,1.51,882.0
1000,1000,512,250,lex,1.14,882.0
7996,100,32,250,lex,1.6,882.0
1000,100,512,250,lex,1.16,882.0
1000,100,32,250,lex,1.25,882.0
7996,100,256,250,lex,1.15,882.0
7996,100,128,250,lex,1.23,882.0
1000,100,64,250,lex,1.16,882.0
N/A,N/A,N/A,500,N/A,4.31,862.0
7996,100,32,500,lex,6.72,862.0
1000,1000,512,500,lex,6.39,862.0
1000,1000,64,500,lex,6.52,862.0
7996,100,64,500,lex,6.58,862.0
1000,1000,1024,500,lex,6.63,862.0
1000,1000,32,500,lex,6.48,862.0
1000,100,64,500,lex,6.74,862.0
7996,100,256,500,lex,6.93,862.0
7996,100,128,500,lex,6.96,862.0
1000,100,32,500,lex,6.75,862.0
1000,100,512,500,lex,6.73,862.0
1000,100,1024,500,lex,2.38,862.0
1000,1000,128,500,lex,5.9,862.0
1000,1000,256,500,lex,6.47,862.0
7996,100,1024,500,lex,6.72,862.0
1000,100,256,500,lex,6.67,862.0
1000,100,128,500,lex,6.46,862.0
7996,100,512,500,lex,6.64,862.0
