Samples,Epochs,Batchsize,Offers,Type,Time,Price
N/A,N/A,N/A,20,N/A,0.3,3759.0
1000,1000,256,20,lex,0.08,3759.0
10582,100,32,20,lex,0.08,3759.0
1000,100,256,20,lex,0.08,3759.0
1000,100,64,20,lex,0.08,3759.0
1000,100,128,20,lex,0.08,3759.0
10582,100,512,20,lex,0.07,3759.0
1000,1000,128,20,lex,0.08,3759.0
1000,1000,32,20,lex,0.08,3759.0
1000,100,32,20,lex,0.1,3759.0
1000,100,512,20,lex,0.07,3759.0
10582,100,128,20,lex,0.08,3759.0
10582,100,64,20,lex,0.08,3759.0
1000,1000,1024,20,lex,0.09,3759.0
10582,100,1024,20,lex,0.08,3759.0
1000,1000,512,20,lex,0.08,3759.0
1000,1000,64,20,lex,0.08,3759.0
1000,100,1024,20,lex,0.08,3759.0
10582,100,256,20,lex,0.08,3759.0
N/A,N/A,N/A,27,N/A,0.25,2400.0
1000,100,32,27,lex,0.15,2400.0
1000,1000,512,27,lex,0.12,2400.0
1000,1000,1024,27,lex,0.12,2400.0
10582,100,1024,27,lex,0.12,2400.0
10582,100,128,27,lex,0.12,2400.0
1000,100,512,27,lex,0.12,2400.0
10582,100,64,27,lex,0.12,2400.0
1000,1000,64,27,lex,0.12,2400.0
1000,100,1024,27,lex,0.1,2400.0
10582,100,256,27,lex,0.12,2400.0
1000,100,256,27,lex,0.12,2400.0
10582,100,32,27,lex,0.9,2520.0
1000,1000,256,27,lex,0.12,2400.0
1000,100,64,27,lex,0.12,2400.0
1000,1000,128,27,lex,0.12,2400.0
10582,100,512,27,lex,0.12,2400.0
1000,100,128,27,lex,0.12,2400.0
1000,1000,32,27,lex,0.96,2520.0
N/A,N/A,N/A,40,N/A,0.62,2676.0
1000,1000,32,40,lex,3.35,2928.0
1000,100,128,40,lex,0.26,2676.0
10582,100,512,40,lex,0.25,2676.0
1000,1000,128,40,lex,0.26,2676.0
1000,100,64,40,lex,0.27,2676.0
1000,1000,256,40,lex,0.26,2676.0
10582,100,32,40,lex,3.39,2928.0
1000,100,256,40,lex,0.27,2676.0
10582,100,256,40,lex,0.26,2676.0
1000,100,1024,40,lex,0.23,2676.0
1000,1000,64,40,lex,3.4,2928.0
1000,100,512,40,lex,0.28,2676.0
10582,100,128,40,lex,0.26,2676.0
10582,100,64,40,lex,4.43,2928.0
10582,100,1024,40,lex,0.26,2676.0
1000,1000,1024,40,lex,0.25,2676.0
1000,1000,512,40,lex,0.25,2676.0
1000,100,32,40,lex,0.28,2676.0
N/A,N/A,N/A,250,N/A,3.15,1622.0
1000,100,256,250,lex,0.33,1622.0
1000,100,128,250,lex,0.32,1622.0
10582,100,1024,250,lex,0.35,1622.0
10582,100,32,250,lex,98.52,1832.0
10582,100,64,250,lex,101.49,1832.0
1000,1000,1024,250,lex,0.32,1622.0
10582,100,128,250,lex,97.07,1832.0
1000,1000,256,250,lex,0.32,1622.0
10582,100,256,250,lex,0.35,1622.0
1000,1000,128,250,lex,98.27,1832.0
1000,100,1024,250,lex,0.49,1622.0
1000,100,512,250,lex,0.51,1622.0
1000,100,64,250,lex,0.33,1622.0
1000,1000,64,250,lex,94.46,1832.0
1000,1000,512,250,lex,0.33,1622.0
10582,100,512,250,lex,0.32,1622.0
1000,1000,32,250,lex,99.98,1832.0
1000,100,32,250,lex,0.35,1622.0
N/A,N/A,N/A,500,N/A,10.38,1582.0
1000,100,512,500,lex,1.96,1582.0
1000,100,32,500,lex,1.95,1582.0
1000,1000,32,500,lex,341.04,1792.0
1000,1000,512,500,lex,1.94,1582.0
10582,100,512,500,lex,1.91,1582.0
1000,1000,64,500,lex,348.13,1792.0
1000,100,64,500,lex,2.15,1582.0
1000,1000,1024,500,lex,2.01,1582.0
10582,100,64,500,lex,336.67,1792.0
10582,100,1024,500,lex,1.95,1582.0
10582,100,32,500,lex,336.34,1792.0
1000,100,256,500,lex,1.98,1582.0
1000,100,128,500,lex,1.97,1582.0
1000,100,1024,500,lex,1.93,1582.0
10582,100,128,500,lex,350.08,1792.0
1000,1000,256,500,lex,337.15,1792.0
10582,100,256,500,lex,1.98,1582.0
1000,1000,128,500,lex,355.5,1792.0
