Samples,Epochs,Batchsize,Offers,Type,Time,Price
N/A,N/A,N/A,20,N/A,1.45,1777
5636,100,512,20,lex,0.19,1777
1000,1000,512,20,lex,0.19,1777
1000,1000,1024,20,lex,0.2,1777
1000,1000,64,20,lex,0.19,1777
5636,100,1024,20,lex,0.2,1777
1000,100,1024,20,lex,0.33,1777
1000,100,32,20,lex,0.2,1777
1000,100,512,20,lex,0.19,1777
5636,100,32,20,lex,0.19,1777
1000,100,128,20,lex,0.18,1777
5636,100,256,20,lex,0.2,1777
1000,1000,32,20,lex,0.23,1777
1000,1000,256,20,lex,0.19,1777
5636,100,64,20,lex,0.19,1777
1000,100,256,20,lex,0.18,1777
5636,100,128,20,lex,0.19,1777
1000,1000,128,20,lex,0.19,1777
1000,100,64,20,lex,0.18,1777
N/A,N/A,N/A,27,N/A,0.46,1440
1000,100,128,27,lex,0.28,1440
1000,1000,256,27,lex,0.26,1440
1000,1000,32,27,lex,0.27,1440
5636,100,256,27,lex,0.27,1440
1000,100,256,27,lex,0.26,1440
5636,100,64,27,lex,0.26,1440
1000,100,64,27,lex,0.26,1440
1000,1000,128,27,lex,0.26,1440
5636,100,128,27,lex,0.26,1440
1000,1000,64,27,lex,0.27,1440
1000,1000,1024,27,lex,0.28,1440
1000,1000,512,27,lex,0.26,1440
5636,100,512,27,lex,0.28,1440
5636,100,1024,27,lex,0.28,1440
1000,100,32,27,lex,0.28,1440
1000,100,1024,27,lex,0.23,1440
1000,100,512,27,lex,0.26,1440
5636,100,32,27,lex,0.26,1440
N/A,N/A,N/A,40,N/A,5.05,1396
5636,100,32,40,lex,0.66,1396
1000,100,512,40,lex,0.67,1396
1000,100,1024,40,lex,0.66,1396
1000,100,32,40,lex,0.66,1396
5636,100,1024,40,lex,0.66,1396
5636,100,512,40,lex,0.66,1396
1000,1000,512,40,lex,0.66,1396
1000,1000,1024,40,lex,0.66,1396
1000,1000,64,40,lex,0.66,1396
5636,100,128,40,lex,0.66,1396
1000,1000,128,40,lex,0.64,1396
1000,100,64,40,lex,0.66,1396
5636,100,64,40,lex,0.66,1396
1000,100,256,40,lex,0.66,1396
5636,100,256,40,lex,0.65,1396
1000,1000,32,40,lex,1.35,1396
1000,1000,256,40,lex,0.64,1396
1000,100,128,40,lex,0.66,1396
N/A,N/A,N/A,250,N/A,28.62,1260
1000,100,512,250,lex,0.82,1260
1000,100,64,250,lex,0.84,1260
1000,100,32,250,lex,142.66,3025
5636,100,1024,250,lex,142.69,3025
1000,1000,1024,250,lex,144.58,3025
1000,1000,512,250,lex,0.83,1260
1000,1000,32,250,lex,147.78,3025
5636,100,32,250,lex,0.83,1260
1000,1000,64,250,lex,0.83,1260
5636,100,512,250,lex,142.9,3025
5636,100,64,250,lex,0.84,1260
1000,100,256,250,lex,0.84,1260
1000,100,128,250,lex,145.7,3025
5636,100,256,250,lex,142.57,3025
5636,100,128,250,lex,0.83,1260
1000,100,1024,250,lex,0.75,1260
1000,1000,128,250,lex,0.81,1260
1000,1000,256,250,lex,0.8,1260
N/A,N/A,N/A,500,N/A,146.13,1210
1000,100,256,500,lex,815.68,2800
1000,100,128,500,lex,849.61,2800
1000,1000,128,500,lex,5.53,1210
1000,1000,256,500,lex,5.56,1210
1000,100,1024,500,lex,2.72,1210
5636,100,256,500,lex,808.26,2800
5636,100,128,500,lex,5.64,1210
5636,100,1024,500,lex,820.09,2800
1000,100,32,500,lex,822.5,2800
1000,100,64,500,lex,841.86,2800
1000,100,512,500,lex,5.68,1210
5636,100,512,500,lex,822.39,2800
5636,100,64,500,lex,5.68,1210
1000,1000,64,500,lex,5.73,1210
5636,100,32,500,lex,841.08,2800
1000,1000,32,500,lex,808.74,2800
1000,1000,512,500,lex,5.66,1210
1000,1000,1024,500,lex,828.46,2800
